,title,content
0,갤럭시S부터 갤럭시S21까지 삼성 스마트폰 역사톺아보기,갤럭시S부터 갤럭시S21까지 삼성 스마트폰 역사 톺아보기 최근 갤럭시S 폰들을... 지금보면 화면도 작고 스마트하지 않아 보이지만 아이폰에 성공적으로... 
1,"LG 모바일 사업 철수 발표. 스마트폰, 피쳐폰 시장 포기","물론 이전에 논의가 있었겠지만 말이에요 LG전자도 이에 대해 많은 고민을 했을겁니다 IoT시장이 중요해지고 스마트카가 활성화되는 시기에, 핵심기술인 스마트폰... "
2,휴대전화 전쟁 2라운드는 '달리는 스마트폰'에서,샤오미는 스마트폰은 물론 각종 스마트 기기 기술력을 보유하고 있다. 기업이 보유한 기술력을 바탕으로 전기차에 도전해 소비자에게 새로운 라이프스타일을... 
3,[스마트폰] 삼성 갤럭시Z 플립3 언박싱 후기,"진짜 역대급으로 나온 스마트폰, 삼성 갤럭시Z 플립3 언박싱 후기 함께 공개된... 아무래도 기존 스마트폰과 거의 비슷한 비율과 함께 큰 화면을 반으로 접어서 가지고... "
4,삼성 갤럭시노트10 가격 2021년에도 매력적인 스마트폰,"일상에서 스마트폰 사용량은 점점 늘어나고 있습니다. 카카오톡, 라인 같은 기본적인 메신저부터 유튜브나 넷플릭스 등의 동영상 콘텐츠의 발달로 인해 스마트폰에... "
5,삼성 스마트폰 갤럭시 Z폴드3 KT 요금제 가격 알아보기,생기는 스마트 통장 그리고 KT 샵에서는 한정판 기프트 세트를 득템할 수 있는 기회가 있다고 하니 삼성 스마트폰 가격을 알아보고 있었던 고객이라면 꼭 한번... 
6,스마트폰 개인 정보 보호 상식과 소소한 팁!,"SNS, 화상채팅, 온라인쇼핑부터 모바일뱅킹까지 스마트폰으로 모든 생활을... 등으로 스마트폰 해킹 범죄는 심각해지고 있습니다. 오늘은 개인 스스로 스마트폰의 개인... "
7,"휴대폰 바이러스 검사, 갤럭시 스마트폰 기본 기능!",PC에서 이용하던 인터넷 뱅킹이나 증권 프로그램들 대부분 스마트폰 앱으로 사용할 수 있어 PC보다 스마트폰을 활용할 때가 많아졌는데요. 중요한 작업이 많아진 만큼... 
8,샤오미 홍미 노트10 가성비 스마트폰 성능 카메라 후기,"샤오미 홍미 노트10 시리즈는 기본 모델이 20만 원대, 노트10 프로 모델이 30만 원대인 가성비 스마트폰입니다. 중저가 스마트폰 중에서도 저렴한 편에 속하는데요.... "
9,삼성 갤럭시 스마트폰 배터리 수명(성능) 확인하는 방법은?,최근 대부분의 갤럭시 스마트폰들이 배터리 일체형으로 나오면서 특히 배터리... 일단 갤럭시 스마트폰의 배터리 성능 및 수명을 확인하기 위해서는 준비해야 될 것들이... 
